Date,Open,High,Low,Close,Adj Close,Volume
2017-05-04,26.230000,26.230000,26.230000,26.230000,26.230000,0
2017-05-05,26.459999,26.459999,26.459999,26.459999,26.459999,0
2017-05-08,26.270000,26.270000,26.270000,26.270000,26.270000,0
2017-05-09,26.219999,26.219999,26.219999,26.219999,26.219999,0
2017-05-10,26.230000,26.230000,26.230000,26.230000,26.230000,0
2017-05-11,26.180000,26.180000,26.180000,26.180000,26.180000,0
2017-05-12,26.200001,26.200001,26.200001,26.200001,26.200001,0
2017-05-15,26.350000,26.350000,26.350000,26.350000,26.350000,0
2017-05-16,26.540001,26.540001,26.540001,26.540001,26.540001,0
2017-05-17,26.290001,26.290001,26.290001,26.290001,26.290001,0
2017-05-18,26.070000,26.070000,26.070000,26.070000,26.070000,0
2017-05-19,26.469999,26.469999,26.469999,26.469999,26.469999,0
2017-05-22,26.559999,26.559999,26.559999,26.559999,26.559999,0
2017-05-23,26.510000,26.510000,26.510000,26.510000,26.510000,0
2017-05-24,26.610001,26.610001,26.610001,26.610001,26.610001,0
2017-05-25,26.620001,26.620001,26.620001,26.620001,26.620001,0
2017-05-26,26.480000,26.480000,26.480000,26.480000,26.480000,0
2017-05-30,26.360001,26.360001,26.360001,26.360001,26.360001,0
2017-05-31,26.290001,26.290001,26.290001,26.290001,26.290001,0
2017-06-01,26.379999,26.379999,26.379999,26.379999,26.379999,0
2017-06-02,26.639999,26.639999,26.639999,26.639999,26.639999,0
2017-06-05,26.520000,26.520000,26.520000,26.520000,26.520000,0
2017-06-06,26.360001,26.360001,26.360001,26.360001,26.360001,0
2017-06-07,26.360001,26.360001,26.360001,26.360001,26.360001,0
2017-06-08,26.280001,26.280001,26.280001,26.280001,26.280001,0
2017-06-09,26.309999,26.309999,26.309999,26.309999,26.309999,0
2017-06-12,26.139999,26.139999,26.139999,26.139999,26.139999,0
2017-06-13,26.290001,26.290001,26.290001,26.290001,26.290001,0
2017-06-14,26.200001,26.200001,26.200001,26.200001,26.200001,0
2017-06-15,25.940001,25.940001,25.940001,25.940001,25.940001,0
2017-06-16,26.150000,26.150000,26.150000,26.150000,26.150000,0
2017-06-19,26.309999,26.309999,26.309999,26.309999,26.309999,0
2017-06-20,26.110001,26.110001,26.110001,26.110001,26.110001,0
2017-06-21,26.170000,26.170000,26.170000,26.170000,26.170000,0
2017-06-22,26.170000,26.170000,26.170000,26.170000,26.170000,0
2017-06-23,26.190001,26.190001,26.190001,26.190001,26.190001,0
2017-06-26,26.240000,26.240000,26.240000,26.240000,26.240000,0
2017-06-27,26.320000,26.320000,26.320000,26.320000,26.320000,0
2017-06-28,26.590000,26.590000,26.590000,26.590000,26.590000,0
2017-06-29,26.549999,26.549999,26.549999,26.549999,26.549999,0
2017-06-30,26.400000,26.400000,26.400000,26.400000,26.400000,0
2017-07-03,26.670000,26.670000,26.670000,26.670000,26.670000,0
2017-07-05,26.670000,26.670000,26.670000,26.670000,26.670000,0
2017-07-06,26.719999,26.719999,26.719999,26.719999,26.719999,0
2017-07-07,26.620001,26.620001,26.620001,26.620001,26.620001,0
2017-07-10,26.750000,26.750000,26.750000,26.750000,26.750000,0
2017-07-11,26.809999,26.809999,26.809999,26.809999,26.809999,0
2017-07-12,27.059999,27.059999,27.059999,27.059999,27.059999,0
2017-07-13,27.180000,27.180000,27.180000,27.180000,27.180000,0
2017-07-14,27.340000,27.340000,27.340000,27.340000,27.340000,0
2017-07-17,27.420000,27.420000,27.420000,27.420000,27.420000,0
2017-07-18,27.389999,27.389999,27.389999,27.389999,27.389999,0
2017-07-19,27.440001,27.440001,27.440001,27.440001,27.440001,0
2017-07-20,27.570000,27.570000,27.570000,27.570000,27.570000,0
2017-07-21,27.330000,27.330000,27.330000,27.330000,27.330000,0
2017-07-24,27.250000,27.250000,27.250000,27.250000,27.250000,0
2017-07-25,27.410000,27.410000,27.410000,27.410000,27.410000,0
2017-07-26,27.639999,27.639999,27.639999,27.639999,27.639999,0
2017-07-27,27.590000,27.590000,27.590000,27.590000,27.590000,0
2017-07-28,27.660000,27.660000,27.660000,27.660000,27.660000,0
2017-07-31,27.719999,27.719999,27.719999,27.719999,27.719999,0
2017-08-01,27.850000,27.850000,27.850000,27.850000,27.850000,0
2017-08-02,27.840000,27.840000,27.840000,27.840000,27.840000,0
2017-08-03,27.920000,27.920000,27.920000,27.920000,27.920000,0
2017-08-04,28.000000,28.000000,28.000000,28.000000,28.000000,0
2017-08-07,28.080000,28.080000,28.080000,28.080000,28.080000,0
2017-08-08,28.070000,28.070000,28.070000,28.070000,28.070000,0
2017-08-09,27.799999,27.799999,27.799999,27.799999,27.799999,0
2017-08-10,27.590000,27.590000,27.590000,27.590000,27.590000,0
2017-08-11,27.430000,27.430000,27.430000,27.430000,27.430000,0
2017-08-14,27.559999,27.559999,27.559999,27.559999,27.559999,0
2017-08-15,27.520000,27.520000,27.520000,27.520000,27.520000,0
2017-08-16,27.770000,27.770000,27.770000,27.770000,27.770000,0
2017-08-17,27.370001,27.370001,27.370001,27.370001,27.370001,0
2017-08-18,27.420000,27.420000,27.420000,27.420000,27.420000,0
2017-08-21,27.430000,27.430000,27.430000,27.430000,27.430000,0
2017-08-22,27.549999,27.549999,27.549999,27.549999,27.549999,0
2017-08-23,27.510000,27.510000,27.510000,27.510000,27.510000,0
2017-08-24,27.500000,27.500000,27.500000,27.500000,27.500000,0
2017-08-25,27.690001,27.690001,27.690001,27.690001,27.690001,0
2017-08-28,27.690001,27.690001,27.690001,27.690001,27.690001,0
2017-08-29,27.400000,27.400000,27.400000,27.400000,27.400000,0
2017-08-30,27.420000,27.420000,27.420000,27.420000,27.420000,0
2017-08-31,27.590000,27.590000,27.590000,27.590000,27.590000,0
